Original Form Number,Original Form Title,Form URL,Extracted Form Number,Case Type,Legal Action,Original PDF URLs,Resolved PDF URLs,PDF Filenames
PH-4a,Statement to Court of Permanency Hearing Reports and/or Notices Sent,https://www.nycourts.gov/forms/statement-court-permanency-hearing-reports-andor-notices-sent?topic=611&wrapped=true,PH-4a,"Family Forms, Permanency Hearings: Foster Care Reentry",,https://www.nycourts.gov/media/16241,https://webfiles.nycourts.gov/public/2025-12/ph-4a.pdf,ph-4a.pdf
PH-4c,Statement to Court of Permanency Hearing Reports and/or Notices Sent,https://www.nycourts.gov/forms/statement-court-permanency-hearing-reports-andor-notices-sent-1?topic=611&wrapped=true,PH-4c,"Family Forms, Permanency Hearings: Foster Care Reentry",,https://www.nycourts.gov/media/16261|https://www.nycourts.gov/media/16266|https://www.nycourts.gov/media/16271,https://webfiles.nycourts.gov/public/2025-12/ph-4c.pdf|https://webfiles.nycourts.gov/public/2025-12/ph-4c.docx|https://webfiles.nycourts.gov/public/2025-12/ph-4c.WPD,ph-4c.pdf|ph-4c.docx|ph-4c.WPD
SC-1,Temporary Order of Protection (Supreme Court),https://www.nycourts.gov/forms/temporary-order-protection-supreme-court?topic=611&wrapped=true,SC-1,"Divorce, Divorce - Orders of Protection, Domestic Violence, Domestic Violence - Orders of Protection, Family Forms, General - Family","Divorce, Uncontested Divorce, Orders of Protection",https://www.nycourts.gov/media/12436|https://www.nycourts.gov/media/12441,https://webfiles.nycourts.gov/public/2025-12/sc-1.pdf|https://webfiles.nycourts.gov/public/2025-12/sc-1.wpd,sc-1.pdf|sc-1.wpd
SURR-3,Petition for Approval of Extra-judicial Surrender Instrument,https://www.nycourts.gov/forms/petition-approval-extra-judicial-surrender-instrument?topic=611&wrapped=true,SURR-3,"Family Forms, Surrender",,https://www.nycourts.gov/media/16831|https://www.nycourts.gov/media/16836,https://webfiles.nycourts.gov/public/2026-01/surr-3.pdf|https://webfiles.nycourts.gov/public/2026-01/surr-3.docx,surr-3.pdf|surr-3.docx
SURR-7,Petition for Review of Failure of Material Condition in Conditional Surrender and violation of Post-adoption Contact Agreement (Prior to Adoption Finalization),https://www.nycourts.gov/forms/petition-review-failure-material-condition-conditional-surrender-and-violation-post-adoption?topic=611&wrapped=true,SURR-7,"Family Forms, Surrender",,https://www.nycourts.gov/media/16901|https://www.nycourts.gov/media/16906,https://webfiles.nycourts.gov/public/2026-01/surr-7.pdf|https://webfiles.nycourts.gov/public/2026-01/surr-7.docx,surr-7.pdf|surr-7.docx
TPR-1a,Summons - Termination of Parental Rights,https://www.nycourts.gov/forms/summons-termination-parental-rights?topic=611&wrapped=true,TPR-1a,Family Forms,,https://www.nycourts.gov/media/13556|https://www.nycourts.gov/media/13561,https://webfiles.nycourts.gov/public/2025-12/tpr-1-a.pdf|https://webfiles.nycourts.gov/public/2025-12/tpr-1-a.WPD,tpr-1-a.pdf|tpr-1-a.WPD
TPR-13,Termination of Parental Rights - Determination of Family Court Judge Regarding Venue,https://www.nycourts.gov/forms/termination-parental-rights-determination-family-court-judge-regarding-venue?topic=611&wrapped=true,TPR-13,"Family Forms, Termination of Parental Rights - Guardianship",,https://www.nycourts.gov/media/15826|https://www.nycourts.gov/media/15831|https://www.nycourts.gov/media/15836,https://webfiles.nycourts.gov/public/2025-12/tpr-13.pdf|https://webfiles.nycourts.gov/public/2025-12/tpr-13.doc|https://webfiles.nycourts.gov/public/2025-12/tpr-13.WPD,tpr-13.pdf|tpr-13.doc|tpr-13.WPD
TPR-14,Termination of Parental Right Order Regarding Venue,https://www.nycourts.gov/forms/termination-parental-right-order-regarding-venue?topic=611&wrapped=true,TPR-14,"Family Forms, Termination of Parental Rights - Guardianship",,https://www.nycourts.gov/media/15841|https://www.nycourts.gov/media/15846|https://www.nycourts.gov/media/15851,https://webfiles.nycourts.gov/public/2025-12/tpr-14.pdf|https://webfiles.nycourts.gov/public/2025-12/tpr-14.doc|https://webfiles.nycourts.gov/public/2025-12/tpr-14.WPD,tpr-14.pdf|tpr-14.doc|tpr-14.WPD
TPR-15,Petition to Restore Parental Rights,https://www.nycourts.gov/forms/petition-restore-parental-rights?topic=611&wrapped=true,TPR-15,"Family Forms, Termination of Parental Rights - Guardianship",,https://www.nycourts.gov/media/15856|https://www.nycourts.gov/media/15861,https://webfiles.nycourts.gov/public/2025-12/tpr-15.pdf|https://webfiles.nycourts.gov/public/2025-12/tpr-15.docx,tpr-15.pdf|tpr-15.docx
UCCJEA-1,Petition for Custody/Visitation - UCCJEA,https://www.nycourts.gov/forms/petition-custodyvisitation-uccjea?topic=611&wrapped=true,UCCJEA-1,"Family Forms, Uniform Child Custody & Enforcement Act (UCCJEA)",,https://www.nycourts.gov/media/14691|https://www.nycourts.gov/media/14696,https://webfiles.nycourts.gov/public/2025-12/uccjea-1.pdf|https://webfiles.nycourts.gov/public/2025-12/uccjea-1.docx,uccjea-1.pdf|uccjea-1.docx
UCCJEA-6,Warrant to Arrest Party and Take Physical Custody of Child - UCCJEA,https://www.nycourts.gov/forms/warrant-arrest-party-and-take-physical-custody-child-uccjea?topic=611&wrapped=true,UCCJEA-6,"Family Forms, Uniform Child Custody & Enforcement Act (UCCJEA)",,https://www.nycourts.gov/media/17961|https://www.nycourts.gov/media/17966,https://webfiles.nycourts.gov/public/2026-01/uccjea-6.pdf|https://webfiles.nycourts.gov/public/2026-01/uccjea-6.wpd,uccjea-6.pdf|uccjea-6.wpd
UCCJEA-8,Request for Assistance or Records,https://www.nycourts.gov/forms/request-assistance-or-records?topic=611&wrapped=true,UCCJEA-8,"Uniform Child Custody & Enforcement Act (UCCJEA), Family Forms",,https://www.nycourts.gov/media/16936|https://www.nycourts.gov/media/16941,https://webfiles.nycourts.gov/public/2026-01/uccjea-8.pdf|https://webfiles.nycourts.gov/public/2026-01/uccjea-8.wpd,uccjea-8.pdf|uccjea-8.wpd
UCCJEA-9,Petition to Modify Custody/Visitation Order - UCCJEA,https://www.nycourts.gov/forms/petition-modify-custodyvisitation-order-uccjea?topic=611&wrapped=true,UCCJEA-9,"Family Forms, Uniform Child Custody & Enforcement Act (UCCJEA)",,https://www.nycourts.gov/media/17331|https://www.nycourts.gov/media/17336,https://webfiles.nycourts.gov/public/2026-01/uccjea-9.pdf|https://webfiles.nycourts.gov/public/2026-01/uccjea-9.docx,uccjea-9.pdf|uccjea-9.docx
UCCJEA-11,Petition to Enforce Custody/Visitation Order - UCCJEA,https://www.nycourts.gov/forms/petition-enforce-custodyvisitation-order-uccjea?topic=611&wrapped=true,UCCJEA-11,"Family Forms, Uniform Child Custody & Enforcement Act (UCCJEA)",,https://www.nycourts.gov/media/17941|https://www.nycourts.gov/media/17946,https://webfiles.nycourts.gov/public/2026-01/uccjea-11.pdf|https://webfiles.nycourts.gov/public/2026-01/uccjea-11.docx,uccjea-11.pdf|uccjea-11.docx
UCS-836,Uniform Adoption - Attorney's Affidavit (Agency and Private Placement),https://www.nycourts.gov/forms/uniform-adoption-attorneys-affidavit-agency-and-private-placement?topic=611&wrapped=true,UCS-836,"Family Forms, Adoption - Family",,https://www.nycourts.gov/media/17051,https://webfiles.nycourts.gov/public/2026-01/adop-ucs-836.pdf,adop-ucs-836.pdf
UIFSA-4,Uniform Support Petition,https://www.nycourts.gov/forms/uniform-support-petition?topic=611&wrapped=true,UIFSA-4,"Family Forms, Uniform Interstate Family Support Act (UIFSA)",,https://www.nycourts.gov/media/16961,https://webfiles.nycourts.gov/public/2026-01/uifsa-4-uniform-support-petition.pdf,uifsa-4-uniform-support-petition.pdf
